iso,country,name,url,http_code,time_sec,final_url,alive
BG,Bułgaria,Darimex Trading Ltd.,https://www.darimex.net/cigarette-packaging,200,0.730210,https://www.darimex.net/cigarette-packaging,1
BG,Bułgaria,Skipter Ltd.,https://skipter.bg/en/about-us/,200,4.459651,https://skipter.bg/en/about-us/,1
BG,Bułgaria,Unipack AD,https://www.unipackbg.com/en/product/tobacco-packaging,200,0.926311,https://www.unipackbg.com/en/product/tobacco-packaging,1
CZ,Czechy,METALIMEX a.s.,https://www.metalimex.cz,200,1.098741,https://metalimex.cz/,1
CZ,Czechy,PEAL a.s.,https://www.peal.cz/english-version,200,0.605473,https://www.peal.cz/english-version,1
CZ,Czechy,RONEX s.r.o.,https://www.ronex.cz/,200,0.441778,https://www.ronex.cz/,1
EE,Estonia,Ecobox (pakendid.ee),https://pakendid.ee/en/,200,1.709714,https://pakendid.ee/en/,1
EE,Estonia,Pakendikeskus AS,https://www.pakendikeskus.ee/en,200,0.805524,https://www.pakendikeskus.ee/en,1
EE,Estonia,Plastrum OÜ,https://plastrum.ee/en/about-us/,200,1.532666,https://plastrum.ee/,1
FR,Francja,Komori-Chambon SAS,https://www.tobaccoasia.com/features/printing-machine-suppliers-unfazed-by-plain-packaging-drive/,200,1.294581,https://www.tobaccoasia.com/features/printing-machine-suppliers-unfazed-by-plain-packaging-drive/,1
FR,Francja,Pastour Imprimeur Cartonnier,https://lb.kompass.com/c/pastour-imprimeur-cartonnier/fr1978874/,403,0.271720,https://lb.kompass.com/c/pastour-imprimeur-cartonnier/fr1978874/,0
FR,Francja,Robert Renault SA,https://robertrenault.fr/industrie-du-tabac,000,15.005560,https://robertrenault.fr/industrie-du-tabac,0
HR,Chorwacja,Bright Packaging (hr.tobacco-package.com),https://hr.tobacco-package.com/,000,0.860394,https://hr.tobacco-package.com/,0
HR,Chorwacja,De-Ro d.o.o.,https://de-ro.hr/en/landing,200,0.650421,https://de-ro.hr/en/landing,1
HR,Chorwacja,Veletabak d.o.o.,https://www.veletabak.hr/,200,1.874634,https://veletabak.hr/,1
LT,Litwa,Printela UAB,https://www.printela.lt/en/,200,1.240094,https://www.printela.lt/en/,1
LT,Litwa,Trustpack UAB,https://trustpack.lt/en/,200,1.277679,https://trustpack.lt/en/,1
LT,Litwa,UAB Starna,https://starna.lt/en,200,0.256622,https://starna.lt/en,1
LV,Łotwa,Packforce Latvia,https://www.packforce.lv/en,200,1.817750,https://www.packforce.lv/en,1
LV,Łotwa,PrintPacking SIA,https://www.printpacking.lv/en/,200,2.477432,https://printpacking.lv/en/,1
MD,Mołdawia,International Tobacco SRL,https://internationaltobacco.md/,200,0.580134,https://internationaltobacco.md/,1
RO,Rumunia,KangooPack SRL,https://kangoopack.com,200,0.936323,https://kangoopack.com/,1
RO,Rumunia,PrintPack Prod SRL,https://www.printpack.ro/,200,0.570988,https://www.printpack.ro/,1
RO,Rumunia,UZINEX SRL,https://www.uzinex.ro/en,200,0.978468,https://www.uzinex.ro/en,1
RS,Serbia,GTL Packaging,http://gtl-packaging.com/en/,200,1.227204,http://gtl-packaging.com/en/,1
RS,Serbia,Snail Custom Rolling Papers (Belgrade),https://www.paperindex.com/paper-industry-suppliers-in-serbia/9,200,0.977974,https://www.paperindex.com/paper-industry-suppliers-in-serbia/9,1
SI,Słowenia,Rotoprint d.o.o.,https://www.rotoprint.si/hrvatski/,200,0.397802,https://www.rotoprint.si/hrvatski/,1
SI,Słowenia,Tobačna Grosist d.o.o.,https://www.tobacna-grosist.si/en,200,1.191346,https://www.tobacna-grosist.si/en,1
SK,Słowacja,DL Lauko s.r.o.,https://www.lauko.sk/en/,200,0.712138,https://www.lauko.sk/en/,1
SK,Słowacja,GGT a.s. (Grafobal Group),https://ggtabak.sk/en,200,0.520459,https://ggtabak.sk/en,1
SK,Słowacja,GRAFOBAL akciová spoločnosť,https://www.grafobal.sk/en,200,0.609174,https://www.grafobal.sk/en,1
